be,なれ
several,いくつかの
light,ライト
develop,発展させる
remember,覚えて
bit,少し
share,シェア
real,本物
answer,答え
sit,座る
figure,形
letter,手紙
decide,決めます
language,言語
subject,主題
class,クラス
development,発達
town,街
half,半分
minute,分
food,食物
break,壊す
clear,クリア
future,将来
either,また
ago,前に
per,あたり
remain,残る
top,上
among,の中
win,勝つ
color,色
involve,関与
reach,到着
social,社交
period,限目
across,横切って
note,ノート
history,歴史
create,作成
drive,ドライブ
along,平行
type,タイプ
sound,音
eye,目
music,音楽
game,ゲーム
political,政治的
free,自由
receive,受け取る
moment,一瞬
sale,セール
policy,ポリシー
further,さらに遠く
body,体
require,必要とする
wait,待つ
general,全般的
appear,現れる
toward,向かって
team,チーム
easy,簡単
individual,個人
full,満杯
black,黒
sense,検出
perhaps,多分
add,追加
rule,ルール
pass,合格
produce,生産
sell,売る
short,短い
agree,同意
law,法
everything,すべての
research,リサーチ
cover,カバー
paper,紙
position,位置
near,近く
human,人間
computer,コンピューター
situation,状況
staff,スタッフ
activity,アクティビティ
film,映画
morning,朝
war,戦争
account,アカウント
shop,店
major,選考科目
someone,誰か
above,その上
design,デザイン
event,イベント
special,特別な
sometimes,時折
condition,調子
carry,運ぶ
choose,選ぶ
father,お父さん
decision,決断
table,テーブル
certain,特定
forward,前方
main,主要
die,死ぬ
bear,くま
cut,切る
describe,説明
himself,彼自身
available,利用可能
especially,特に
strong,強い
rise,上昇
girl,女の子
maybe,多分
community,コミュニティ
else,そうしないと
particular,特に
role,役割
join,加入
difficult,難しい
please,お願いします
detail,詳細
difference,違い
action,アクション
health,健康
eat,食べる
step,ステップ
TRUE,真実
phone,電話
themselves,彼ら自身
draw,描く
white,白い
date,日にち
practice,練習
model,モデル
raise,高める
customer,お客様
front,フロント
explain,説明
door,ドア
outside,外側
behind,後ろに
economic,経済
site,サイト
approach,アプローチ
teacher,先生
land,土地
charge,充電
finally,最後に
sign,サイン
claim,請求
relationship,関係
travel,トラベル
enjoy,楽しい
death,死
nice,良い
amount,額
improve,向上
picture,写真
boy,男の子
regard,由来
organization,組織
happy,ハッピー
couple,カップル
act,行為
range,範囲
quality,品質
project,事業
round,円形
opportunity,機会
road,道
accord,アコード
list,リスト
wish,願い
therefore,したがって
wear,切る
fund,基金
rest,休み
kid,子供
industry,業界
education,教育
measure,測定
kill,殺す
serve,仕える
likely,おそらく
certainly,もちろんです
national,全国
itself,自体
teach,教える
field,分野
security,安全
air,空気
benefit,利点
trade,トレード
risk,危険
news,ニュース
standard,標準
vote,投票
percent,パーセント
focus,集中
stage,ステージ
space,スペース
instead,代わりは
realize,気付く
usually,いつもの
data,データ
single,独身
address,住所
performance,パフォーマンス
chance,機会
accept,受け入れる
society,社会
technology,テクノロジー
mention,言及
choice,選択
save,保存
common,一般
culture,文化
total,合計
demand,要求する
material,素材
limit,制限
listen,聞く
due,期限
wrong,違う
foot,足
effort,努力
attention,注意
upon,その上
check,小切手
complete,完了
lie,嘘
pick,選ぶ
reduce,減らす
personal,個人的
ground,接地
animal,動物
arrive,到着
patient,忍耐強い
current,現在
century,世紀
evidence,証拠
exist,存在
similar,似ている
fight,喧嘩
leader,盟主
fine,大丈夫
street,街
former,前の
contact,コンタクト
particularly,特に
wife,妻
sport,スポーツ
prepare,準備
discuss,話し合います
response,応答
voice,声
piece,ピース
finish,終了
suppose,仮定する
apply,申し込み
president,大統領
fire,火
compare,比較
court,裁判所
police,警察
store,お店
poor,貧しい
knowledge,知識
laugh,笑う
arm,腕
heart,心臓
source,ソース
employee,従業員
manage,管理
simply,単に
bank,銀行
firm,固い
cell,細胞
article,論文
fast,速い
attack,攻撃
foreign,外国
surprise,サプライズ
feature,特徴
factor,要素
pretty,かわいい
recently,近々
affect,影響
drop,落とす
recent,最近
relate,関連
official,正式
financial,金融
miss,お嬢
art,美術
campaign,運動
private,プライベート
pause,一時停止
everyone,みんな
forget,忘れる
page,ページ
worry,心配
summer,夏
drink,飲む
opinion,意見
park,公園
represent,代表する
key,鍵
inside,中身
manager,マネジャー
international,インターナショナル
contain,含む
notice,知らせ
wonder,不思議
nature,自然
structure,構造
section,セクション
myself,自分
exactly,まさに
plant,工場
paint,ペイント
worker,ワーカー
press,押す
whatever,なんでもいい
necessary,必要
region,領域
growth,成長
evening,夜
influence,影響
respect,尊敬する
various,様々
catch,キャッチ
thus,したがって
skill,スキル
attempt,試み
son,息子
simple,単純
medium,中くらい
average,平均
stock,株式
management,管理
character,キャラクター
bed,ベッド
hit,打つ
establish,確立します
indeed,確かに
final,最後の
economy,経済
fit,フィット
guy,男
function,関数
yesterday,昨日
image,画像
size,サイズ
behavior,行動
addition,添加
determine,決定
station,駅
population,人口
fail,不合格
environment,環境
production,製造
contract,契約する
player,プレーヤー
comment,コメント
enter,入力
occur,発生する
alone,1人
significant,重要
drug,薬
wall,壁
series,シリーズ
direct,直接
success,成功
tomorrow,明日
director,監督
clearly,明らかに
lack,足らない
review,レビュー
depend,それによる
race,人種
recognize,認識
window,窓
purpose,目的
department,デパートメント
gain,利得
tree,木
college,カレッジ
argue,口論
board,ボード
holiday,ホリデー
mark,マーク
church,教会
machine,機械
achieve,成し遂げる
item,アイテム
prove,証明
cent,セント
season,シーズン
floor,床
stuff,もの
wide,幅
anyone,誰でも
method,方法
analysis,分析
election,選挙
military,軍隊
hotel,ホテル
club,クラブ
below,下
movie,映画
doctor,医者
discussion,討論
sorry,ごめん
challenge,チャレンジ
nation,国家
nearly,ほぼ
statement,声明
link,リンク
despite,にもかかわらず
introduce,導入
advantage,アドバンテージ
ready,準備
marry,結婚
strike,攻撃
mile,マイル
seek,求める
ability,能力
unit,単位
card,カード
hospital,病院
quickly,早く
interview,インタビュー
agreement,合意
release,リリース
tax,税
solution,解決
capital,資本
popular,人気
specific,明確な
beautiful,美しい
fear,恐れ
aim,標的
television,テレビ
serious,深刻
target,目標
degree,程度
pull,引く
red,赤
husband,夫
access,アクセス
movement,動き
treat,扱う
identify,識別
loss,損失
shall,しなければならない
modern,モダン
pressure,プレッシャー
bus,バス
treatment,処理
yourself,あなた自身
supply,供給
village,村
worth,価値
natural,ナチュラル
express,特急
indicate,示す
attend,出席
brother,兄弟
investment,投資
score,スコア
organize,整理
trip,旅行
beyond,超えて
sleep,寝る
fish,魚
promise,約束
potential,潜在的な
energy,エネルギー
trouble,問題
relation,関係
touch,接する
file,ファイル
middle,真ん中
bar,バー
suffer,苦しむ
strategy,ストラテジー
deep,深い
except,を除外する
clean,掃除
tend,傾向
advance,前進
fill,塗りつぶし
star,星
network,通信網
generally,一般的
operation,手術
match,マッチ
avoid,避ける
seat,シート
throw,投げる
task,仕事
normal,正常
goal,ゴール
associate,仲間、同僚
blue,青い
positive,ポジティブ
option,オプション
box,箱
huge,巨大
message,メッセージ
instance,実例
style,スタイル
refer,参照
cold,寒い
push,押す
quarter,クォーター
assume,推定
baby,赤ちゃん
successful,成功
sing,歌う
doubt,疑問に思う
competition,競争
theory,仮説
propose,提案します
reference,参照
argument,口論
adult,大人
fly,飛ぶ
document,資料
pattern,パターン
application,応用
hot,ホット
obviously,明らかに
unclear,不明
bill,明細書
search,探す
separate,分ける
central,中央
career,キャリア
anyway,とりあえず
speech,スピーチ
dog,犬
officer,役員
throughout,全体を通して
oil,油
dress,ドレス
profit,利益
guess,推測してみて
fun,楽しい
protect,守る
resource,資源
science,理科
disease,疾患
balance,残高
damage,ダメージ
basis,基本
author,著者
basic,基本
encourage,奨励します
hair,髪
male,男
operate,動作します
reflect,反射
exercise,エクササイズ
useful,使える
restaurant,レストラン
income,所得
property,財産
previous,前
dark,暗い
imagine,想像
okay,わかった
earn,得る
daughter,娘
post,役職
newspaper,新聞
define,定義
conclusion,結論
clock,時計
everybody,みんな
weekend,週末
perform,実行
professional,プロフェッショナル
mine,私の
debate,議論
memory,メモリー
green,緑
song,歌
object,物体
maintain,維持
credit,クレジット
ring,指輪
discover,発見する
dead,死
afternoon,午後
prefer,好む
extend,拡張する
possibility,可能性
direction,方向
facility,施設
variety,バラエティ
daily,毎日
clothes,服
screen,画面
track,追跡
dance,ダンス
completely,完全に
female,女性
responsibility,責任
original,オリジナル
sister,妹
rock,石
dream,夢
nor,または
university,大学
easily,簡単に
agency,エージェンシー
dollar,ドル
garden,公園
fix,修理
ahead,先に
cross,クロス
yeah,うん
weight,重さ
legal,法的
proposal,提案
version,バージョン
conversation,会話
somebody,誰か
pound,ポンド
magazine,雑誌
shape,形
sea,海
immediately,すぐに
welcome,ようこそ
smile,笑顔
communication,コミュニケーション
agent,エージェント
traditional,伝統的
replace,交換
judge,ジャッジ
herself,彼女自身
suddenly,突然
generation,世代
estimate,見積もり
favorite,お気に入り
difficulty,困難
purchase,購入
mister,ミスター
conference,会議
vacation,休暇
client,クライアント
e-book,電子書籍
airport,空港
memo,メモ
reservation,予約
logical,論理
fax,ファックス
o'clock,o'clock
sincerely,心から
sometime,いつか
website,Webサイト
supervisor,監督者
candidate,候補者
refund,返金
goods,品
workshop,ワークショップ
downtown,ダウンタウン
deadline,締め切り
invoice,請求書
brochure,パンフレット
noon,昼
accountant,会計士
clerk,店員
lobby,ロビー
publish,公開
résumé,履歴書
enclose,囲まれます
applicant,申請者
seminar,セミナー
technician,技術者
cloth,布
fare,運賃
receipt,レシート
traveler,旅行者
caller,発信者
subway,地下鉄
luggage,荷物
shipment,出荷
infer,推測します
waiter,ウェイター
rental,レンタル
warranty,保証
cafeteria,カフェテリア
chef,シェフ
elevator,エレベーター
reception,受信
correctly,正しく
lease,リース
bicycle,自転車
notify,通知します
preview,プレビュー
attendant,アテンダント
subscription,サブスクリプション
convenient,便利
manual,マニュアル
clue,ヒント
garage,ガレージ
obtain,入手します
oval,楕円形
inventory,在庫
outdoor,屋外
suitcase,スーツケース
destination,行き先
occupation,職業
postpone,延期
contradict,矛盾
umbrella,傘
inference,推論
cellphone,携帯電話
compact,コンパクト
merchandise,商品
receptionist,受付
dentist,歯医者
identification,身元
coupon,クーポン
depart,出発
reschedule,再スケジュール
tactic,戦術
renovation,改修
upgrade,アップグレード
precede,先行
replacement,置換
dine,食事
passport,パスポート
coworker,同僚
upcoming,今後
cabinet,戸棚
appliance,アプライアンス
explanatory,説明
instructor,インストラクター
keyboard,キーボード
media,メディア
supermarket,スーパーマーケット
valid,有効
admission,入場料
laptop,ラップトップ
underline,下線
electrical,電気
airplane,飛行機
assignment,割り当て
exit,出口
attendee,参加者
cruise,クルーズ
birthday,誕生日
café,カフェ
comprehension,理解
mall,モール
medication,投薬
recycle,リサイクル
renew,更新します
tenant,テナント
sandwich,サンドイッチ
departure,出発
mini,ミニ
fitness,フィットネス
inconvenience,不便
banquet,バンケット
closet,クローゼット
unreal,非現実的
distractor,ディストラクタ
expire,期限切れ
folder,フォルダ
photocopy,コピー
renovate,改修
sunny,晴れ
calendar,カレンダー
donation,寄付
feedback,フィードバック
shortly,まもなく
snack,スナック
warehouse,倉庫
copier,コピー機
provider,プロバイダー
beverage,飲み物
hungry,お腹がすいた
inspection,検査
recipient,受信者
aisle,通路
inspect,検査します
mechanic,メカニック
merger,合併
soccer,サッカー
sweater,セーター
ingredient,成分
rewrite,リライト
itinerary,旅程
workplace,職場
architect,建築家
convenience,快適
eligible,対象
indoor,屋内
baggage,荷物
click,クリック
dial,ダイヤル
container,容器
drawer,引き出し
lab,ラボ
submission,提出
bulletin,速報
certificate,証明書
gym,ジム
highway,高速道路
respondent,被告
jewelry,ジュエリー
overtime,時間とともに
battery,バッテリー
donate,寄付
outstanding,並外れた
skim,スキム
briefcase,ブリーフケース
dessert,デザート
impact,影響
innovative,革新的
inquire,お問い合わせください
overnight,一晩
venue,会場
commuter,通勤者
logo,ロゴ
newsletter,ニュースレター
advisor,アドバイザー
cartridge,カートリッジ
cloudy,曇り
photographer,写真家
shopper,買い物客
tag,鬼ごっこ
announcer,アナウンサー
aspect,側面
audit,監査
contractor,請負業者
download,ダウンロード
password,パスワード
prohibit,禁止
stadium,スタジアム
terminal,ターミナル
weekday,平日
bonus,ボーナス
cart,カート
delicious,おいしい
ink,インク
supervise,監督します
waitress,ウェイトレス
cleaner,クリーナー
developer,デベロッパー
headquarter,本部
shuttle,シャトル
stationery,文房具
subscribe,申し込む
alike,同様に
flavor,風味
picnic,ピクニック
recipe,レシピ
refreshment,リフレッシュ
administrative,管理者
authorize,許可します
commonly,一般的に
distribution,分布
sofa,ソファー
accommodate,収容
affordable,手頃な価格
annoy,迷惑
commute,通勤
coordinate,座標
paperwork,書類
quit,終了する
authority,権限
flu,インフルエンザ
captain,キャプテン
installation,インストール
trainer,トレーナー
availability,可用性
bargain,バーゲン
complimentary,無料
hike,ハイキング
midnight,夜中
productivity,生産性
rainy,雨の
relocate,再配置します
trainee,研修生
transaction,取引
unhappy,不幸
verify,確認
automobile,自動車
courier,宅配便
incomplete,不完全な
questionnaire,アンケート
baseball,野球
dock,ドック
lamp,ランプ
lately,近々
machinery,機械
presenter,プレゼンター
seldom,滅多
signature,サイン
worldwide,世界的に
carrier,キャリア
designate,指定
exclusive,エクスクルーシブ
grocery,買い物
homework,宿題
memorandum,メモ
photocopier,コピー機
suite,スイート
thorough,徹底的です
bookstore,書店
cater,ケーター
dental,歯科
duration,間隔
lounge,ラウンジ
painter,画家
patron,パトロン
prescription,処方
productive,生産的
salad,サラダ
stack,スタック
delegate,委任
salesperson,営業担当者
calculator,電卓
completion,完了
defect,欠陥
garbage,ごみ
omit,省略します
spite,悪意
bathroom,トイレ
cab,タクシー
correspondence,対応
ladder,はしご
photography,写真
sculpture,彫刻
anniversary,記念日
buffet,ビュッフェ
defective,欠陥
ice cream,アイスクリーム
leak,リーク
occupancy,占有
proficiency,習熟度
renewal,リニューアル
urgent,急
annually,毎年
basketball,バスケットボール
delete,消去
illogical,非論理
pet,ペット
textbook,教科書
accurately,正確に
cabin,キャビン
conductor,導体
inspector,検査官
intern,インターン
semester,学期
confirmation,確認
congratulation,おめでとうございます
expertise,専門知識
graph,グラフ
taker,テイカー
utility,効用
voucher,バウチャー
banker,バンカー
behalf,代わりに
minimize,最小化します
optional,オプション
paycheck,給料
polite,丁寧
protective,保護
seller,売り手
sidewalk,歩道
sightsee,観光
soup,スープ
transit,トランジット
wallet,財布
born,生まれ
cashier,レジ
casual,カジュアル
drill,ドリル
fountain,噴水
juice,ジュース
lane,LANE
popularity,人気
poster,ポスター
promptly,すぐに
retailer,小売業者
vacancy,空室
bench,ベンチ
cumulative,累積的な
directory,ディレクトリ
disposal,廃棄
housekeeper,お手伝いさん
internship,インターンシップ
knowledgeable,知識が豊富です
organizer,オーガナイザー
overdue,期限切れ
prediction,予測
subscriber,サブスクライバー
booklet,冊子
conditioner,コンディショナー
enroll,登録
frustrate,欲求不満
garment,衣服
orientation,オリエンテーション
outlet,出口
packet,パケット
plumber,配管工
specification,仕様
auto,自動
decorate,飾る
deduction,控除
definite,明確です
economical,経済的
efficiently,効率的
flyer,チラシ
franchise,フランチャイズ
generous,優しい
interrupt,割り込み
oven,オーブン
pant,パンツ
profitable,収益性
refrigerator,冷蔵庫
reimburse,払い戻し
showroom,ショールーム
vegetarian,ベジタリアン
administrator,管理者
broker,ブローカ
cancellation,キャンセル
confidential,機密
jet,ジェット
realistic,現実的です
thoroughly,徹底的に
trash,ごみ
usage,利用方法
windy,風が強い
automate,自動化します
ferry,フェリー
finalize,確定します
incur,発生します
instruct,指示
loyal,忠実
luncheon,ランチョン
microphone,マイクロフォン
overview,概要
projector,プロジェクター
shortage,不足
spacious,広々とした
accomplishment,達成
accustom,慣れた
clinic,診療所
desktop,デスクトップ
jog,ジョグ
leisure,レジャー
nap,昼寝
reinforce,強化する
sender,送信者
vacuum,真空
wireless,無線
yearly,毎年
appreciation,感謝
cargo,貨物
cooperate,協力します
distract,気を散らす
dividend,配当
exemption,免除
furnish,家具
hourly,時給
laundry,ランドリー
mandatory,必須
mechanical,機械
pharmacy,薬局
promotional,プロモーション
quarterly,四半期
residential,居住の
scholarship,奨学金
seeker,シーカー
temporarily,一時的に
towel,タオル
unattended,無人
accessible,アクセス可能
afterward,その後
apology,謝罪
assemble,組み立てる
automatic,自動
boardroom,会議室
carpenter,大工
caterer,仕出し屋
classify,分類します
consultation,相談
durable,耐久性
glove,グローブ
hardware,ハードウェア
malfunction,故障
outdate,アウトトート
patience,忍耐
postcard,はがき
prospective,将来
revision,リビジョン
strictly,厳密に
tomato,トマト
tray,トレイ
vendor,ベンダー
withdrawal,撤退
anytime,どんなときも
badge,バッジ
brake,ブレーキ
calculation,計算
coordinator,コーディネーター
costly,費用がかかります
equip,装備
excursion,遠足
graphic,グラフィック
inexperience,経験不足
lengthy,長い
librarian,司書
meantime,その間
merge,マージ
performer,パフォーマー
pharmacist,薬剤師
pizza,ピザ
resignation,辞任
reviewer,レビュアー
terminate,終了します
translation,翻訳
unfamiliar,なじみのない
actress,女優
adjacent,隣接
alternate,代わりの
congratulate,祝福します
escort,護衛
inexpensive,安価な
mask,マスク
purchaser,購入者
purse,財布
realtor,不動産業者
rearrange,再配置
reopen,再開します
soap,石鹸
spokesperson,スポークスマン
superior,優れました
airfare,航空運賃
bake,焼く
businessperson,事業者
considerably,かなり
faulty,欠陥
hobby,趣味
informal,非公式
kilometer,キロメートル
lawn,芝生
microscope,顕微鏡
mislead,誤解を招く
misplace,誤った場所
newsstand,ニューススタンド
overhead,オーバーヘッド
portfolio,ポートフォリオ
rack,ラック
remodel,改造
statistics,統計学
tunnel,トンネル
unlimited,無制限
vitamin,ビタミン
zoo,動物園
alert,アラート
auditorium,講堂
celebrity,有名人
deduct,控除します
disruption,混乱
electrician,電気技師
enthusiastic,熱狂的
graduation,卒業
icy,氷
irregular,不規則
login,ログインする
managerial,管理者
mineral,ミネラル
motorcycle,オートバイ
necessity,必要性
planner,プランナー
programmer,プログラマー
proofread,校正
recruiter,リクルーター
remainder,残り
rose,薔薇
statue,銅像
steadily,着実に
stockholder,株主
vacant,空室
accessory,アクセサリー
assembly,組み立て
basket,バスケット
certification,認証
closure,閉鎖
dislike,嫌い
downstairs,階下
expiration,有効期限
headache,頭痛
jam,混雑する
nail,爪
optimistic,楽観的
pedestrian,歩行者
projection,投影
sleeve,スリーブ
solar,太陽
suburb,郊外
takeover,買収
unsure,確信が持てません
upstairs,2階
verbal,口頭
visa,ビザ
wildlife,野生動物
workforce,労働力
absent,不在
accumulate,蓄積します
appraisal,評価
apprentice,見習い
businessman,ビジネスマン
ceiling,シーリング
colorful,カラフル
compensate,補償
costume,コスチューム
editorial,社説
effectiveness,効果
facilitate,促進します
firefighter,消防士
gasoline,ガソリン
inappropriate,不適切
internet,インターネット
landlord,家主
layout,レイアウト
lunchtime,ランチタイム
payroll,給与
pharmaceutical,医薬品
plausible,もっともらしい
premium,プレミアム
safely,安全に
simplify,簡素化する
specialty,専門
tech,技術
unexpected,予期しない
unspecified,不特定
adhere,遵守する
bankrupt,破産
caution,注意
clip,クリップ
comply,準拠
diner,ダイナー
duplicate,複製
eager,熱心
economist,エコノミスト
embassy,大使館
fasten,締めます
harmful,危害を与える
informative,有益な
institute,研究所
kit,キット
locally,ローカル
mentor,メンター
nominate,ノミネート
opt,Opt
parade,パレード
physician,医師
polish,研磨
postage,送料
recreational,レクリエーション
rehearse,リハーサル
removal,除去
satisfactory,満足のいく
seasonal,季節
separately,別々に
turnover,ひっくり返す
unnecessary,不要
accordingly,によると
apple,りんご
applicable,該当する
auction,競売
balcony,バルコニー
basement,地下
beforehand,予め
culinary,料理
documentary,ドキュメンタリー
downturn,景気後退
earthquake,地震
elegant,エレガント
excessive,過度
generic,ジェネリック
jazz,ジャズ
lifetime,一生
massage,マッサージ
maximize,最大化します
mild,軽度
ongoing,進行中
periodically,定期的に
pie,パイ
plug,プラグ
recruitment,募集
referee,審判
referral,照会
renown,有名
runner,ランナー
sock,靴下
spam,スパム
surf,サーフィン
timetable,時刻表
vase,花瓶
aboard,乗船
advancement,アドバンス
advertiser,広告主
alternatively,または、または
amuse,楽しませる
attorney,弁護士
authorization,許可
campus,キャンパス
candy,キャンディー
certify,証明します
checkout,チェックアウト
chemistry,化学
circulation,サーキュレーション
concierge,コンシェルジュ
consent,同意
consistently,一貫して
cookie,クッキー
deck,デッキ
descriptive,記述
detach,取り外します
documentation,ドキュメンテーション
entrepreneur,起業家
exceptional,例外的
familiarize,親しみやすい
hotline,ホットライン
intonation,イントネーション
invention,発明
irritate,いらいらします
locker,ロッカー
overlook,見落としてください
patent,特許
payable,支払い可能
preliminary,予備
salesman,セールスマン
sauna,サウナ
smoothly,スムーズに
sunshine,日光
tow,牽引
translator,翻訳者
tuition,学費
unavailable,利用できません
violation,違反
webpage,ウェブページ
acceptance,受け入れ
allocate,割り当てる
ambitious,野心的
appendix,付録
booth,ブース
clarify,明らかにする
classmate,同級生
compile,コンパイル
correction,修正
customize,カスタマイズ
dedication,献身
diagnose,診断
discontinue,中止する
dishwasher,食器洗い機
drought,干ばつ
economize,経済します
entrée,アントレ
firework,花火
freight,貨物
fry,稚魚
gallon,ガロン
gardener,庭師
ideally,理想的には
inclusive,包括的
insufficient,不十分
introductory,紹介
junk,ジャンク
ma'am,奥様
mileage,マイレージ
noisy,うるさい
pan,鍋
parcel,小包
pasta,パスタ
periodical,定期刊行物
pill,ピル
portable,ポータブル
punctual,規則正しい
recreation,レクリエーション
relieve,緩和する
reminder,リマインダー
rumor,噂
scarf,スカーフ
seaside,シーサイド
shorten,短くします
specially,特に
spill,こぼれます
spouse,配偶者
subtract,減算します
tablet,タブレット
ton,トン
vend,ベンド
yoga,ヨガ
accent,アクセント
advisory,アドバイザリー
asleep,寝落ち
authentic,本物
bakery,ベーカリー
carton,カートン
compartment,区画
compatible,互換性
consumption,消費
conveniently,便利です
cosmetic,化粧品
courtesy,礼儀
creativity,創造性
criteria,基準
disagreement,不一致
disappointment,失望
dissatisfy,不満
enjoyable,楽しい
faculty,学部
favorable,好ましい
foreman,フォアマン
forum,フォーラム
founder,創設者
fundraise,資金調達
graphics,グラフィックス
handy,ハンディ
hazardous,危険
healthcare,健康管理
humidity,湿度
immigration,移民
influential,影響力
nationwide,全国
pad,パッド
paraphrase,言い換え
placement,配置
postal,郵便
publicity,宣伝
renter,賃借人
repairperson,修理人
repeatedly,繰り返し
restroom,トイレ
silently,静かに
spa,スパ
spreadsheet,スプレッドシート
stapler,ステープラー
streamline,合理化
substantially,実質的に
teller,テラー
tidy,几帳面
toll,通行料金
toner,トナー
urgently,緊急に
walkway,通路
absorb,吸収する
administer,管理
ample,十分な
antique,アンティーク
bean,豆
browse,ブラウズ
bye,さよなら
careless,不注意
collector,コレクタ
conform,適合
congestion,混雑
contradiction,矛盾
contrary,逆に
diploma,ディプロマ
distributor,卸売業者
dive,飛び込む
energetic,エネルギッシュ
environmentally,環境的に
escalator,エスカレーター
exotic,エキゾチック
fabric,ファブリック
generalization,一般化
guidance,ガイダンス
gum,ガム
hesitant,ためらう
indicator,インジケータ
individually,個別に
junior,ジュニア
lifestyle,ライフスタイル
likewise,同じく
morale,士気
orchestra,オーケストラ
organizational,組織
outlook,見通し
physics,物理
pole,ポール
puzzle,パズル
reflexive,反射
snowy,雪に覆われています
steak,ステーキ
sticker,ステッカー
telecommunication,通信
timely,タイムリーな
uncomfortable,快適でない
amenity,アメニティ
approximate,近似
await,待つ
barbecue,バーベキュー
beginner,初心者
biology,生物学
blanket,毛布
chairperson,議長
charitable,慈善
checkup,調べる
cooler,クーラー
crane,クレーン
dealership,ディーラー
dependable,信頼できる
disconnect,切断します
dispose,廃棄
disrupt,混乱します
dynamic,動的
enthusiastically,熱心に
freelance,フリーランス
grill,グリル
habitual,習慣的
internationally,国際的に
invaluable,かけがえのない
messenger,メッセンジャー
paperback,ペーパーバック
rebate,リベート
recur,再発します
reproduce,再現します
spray,噴射
staple,ステープル
strategic,戦略的
stripe,縞
teen,ティーン
tempt,誘惑
